PID,Country,Age,Gender,Counterbalance,Video_Gender,Smart,Behave,Grades,Edu_asp,nationality,nationality_other,origin,origin_other,parent,employment,employment_other,occupation,occupation_other,ethnicity,ethnicity_other,Education,SES,income_annual,,
N400,2,57,Female,1,1,0,1,0,Bachelor's degree or Honors degree,Canada,,Other (please specify):,I Portugal ,Yes,Part-time,,Other (please specify),Owner ,Caucasian,,High/Secondary school,8,"$79,000 - $111,999",,
N403,2,37,Female,1,1,0,1,1,Some college/university,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Associate's degree or Certificate/Diploma,7,"$45,000  - $78,999",,
N407,2,37,Female,1,1,0,1,0,PhD or other higher postgraduate degrees,Canada,,Canada,,Yes,Unemployed,,Other (please specify),None,Other,Canadian ,High/Secondary school,3,"$22,000  - $44,999",,
R208,2,48,Male,2,1,0,1,1,Bachelor's degree or Honors degree,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,7,"$45,000  - $78,999",,
R236,2,63,Female,2,2,0,1,1,High/Secondary school,Canada,,Canada,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,4,"$22,000  - $44,999",,
R261,2,29,Female,1,2,0,1,0,High/Secondary school,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,High/Secondary school,5,"$22,000  - $44,999",,
249,2,78,Male,1,2,0,1,0,High/Secondary school,Canada,,United States of America,,Yes,Retired,,Retired,,Caucasian,,PhD or other higher postgraduate degrees,7,"$45,000 - $78,999",,
289,2,29,Female,1,1,0,1,1,High/Secondary school,Canada,,Canada,,No,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,7,"$79,000 - $111,999",,
295,2,34,Male,1,1,0,1,0,Associate's degree or Certificate/Diploma,Canada,,Canada,,No,Full-time,,Other (please specify),web,Caucasian,,Associate's degree or Certificate/Diploma,4,"$45,000 - $78,999",,
N320,2,43,Male,1,2,0,1,1,High/Secondary school,Canada,,Canada,,Yes,Full-time,,Sales and office,,Caucasian,,High/Secondary school,7,"$79,000 - $111,999",,
N328,2,20,Male,1,2,0,1,1,Some college/university,Canada,,Canada,,No,Unemployed,,Unemployed,,Native American,,High/Secondary school,2,I don't know,,
N390,2,61,Female,2,2,0,1,1,Some college/university,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,High/Secondary school,6,"$79,000 - $111,999",,
N392,2,54,Female,2,1,0,1,1,High/Secondary school,Canada,,Canada,,Yes,Unemployed,,Unemployed,,Caucasian,,Some college/university,4,"Less than $21,999",,
N410,2,33,Female,1,1,0,1,0,Some college/university,Canada,,Canada,,Yes,Full-time,,Other (please specify),Telecommunications,Asian,,High/Secondary school,8,"$22,000  - $44,999",,
R233,2,58,Male,1,2,0,1,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Retired,,Retired,,Caucasian,,High/Secondary school,4,"$45,000  - $78,999",,
R240,2,24,Female,1,2,0,1,1,High/Secondary school,Canada,,Canada,,Yes,Full-time,,"Management, professional, and related",,Asian,,Bachelor's degree or Honors degree,3,"$79,000 - $111,999",,
300,2,53,Male,2,1,0,1,1,High/Secondary school,Canada,,Other (please specify):,Belarus,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,4,"$79,000 - $111,999",,
N350,2,71,Male,1,2,0,1,0,Bachelor's degree or Honors degree,"Canada,Other (please specify):",European,Other (please specify):,Europe,Yes,Retired,,Retired,,"Caucasian,Other",Jewish,Master's degree,5,"Less than $21,999",,
425,3,25,Female,1,2,0,0,0,Master's degree,United Kingdom,,United Kingdom,,Yes,Full-time,,Sales and office,,Other,Northern,High/Secondary school,10,"£43,701 - £61,000",,
433,3,62,Male,1,1,0,0,0,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Full-time,,"Production, transportation, and material moving",,Caucasian,,High/Secondary school,4,"£21,001 - £27,700",,
454,3,58,Female,2,1,0,0,1,Associate's degree or Certificate/Diploma,United Kingdom,,United Kingdom,,Yes,Other,,Unemployed,,Caucasian,,High/Secondary school,4,"Less than - £21,000",,
R202,3,24,Male,2,1,0,0,0,Some high/secondary school,United Kingdom,,United Kingdom,,Yes,Full-time,,"Farming, fishing, and forestry",,Caucasian,,Some college/university,6,"£21,001 - £27,700",,
362,3,32,Female,2,1,0,0,0,Some college/university,United Kingdom,,United Kingdom,,No,Full-time,,Government,,Caucasian,,High/Secondary school,6,"£27,701 - £43,700",,
401,3,33,Female,1,1,0,0,0,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,No,Full-time,,Other (please specify),Customer service,Caucasian,,High/Secondary school,3,"£27,701 - £43,700",,
N423,3,35,Male,1,1,0,0,0,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,7,"£43,701 - £61,000",,
N496,3,65,Female,1,1,0,0,0,Some college/university,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,Some college/university,6,"£27,701 - £43,700",,
N497,3,67,Female,2,1,0,0,0,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,Some college/university,7,"£27,701 - £43,700",,
R146,3,40,Male,1,1,0,0,0,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,High/Secondary school,5,"£43,701 - £61,000",,
R165,3,68,Transgender female,2,1,0,0,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Retired,,Retired,,Caucasian,,High/Secondary school,3,"Less than - £21,000",,
R173,3,32,Female,1,2,0,0,1,Some high/secondary school,United Kingdom,,United Kingdom,,Yes,Part-time,,Sales and office,,Caucasian,,High/Secondary school,6,"Less than - £21,000",,
R185,3,48,Male,1,2,0,0,0,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,2,"Less than - £21,000",,
R191,3,52,Male,1,2,0,0,0,Some college/university,United Kingdom,,Other (please specify):,Zimbabwe ,Yes,Full-time,,Other (please specify),Healthcare assistant ,African,,Some college/university,6,"£27,701 - £43,700",,
359,3,40,Female,2,1,0,0,0,Some high/secondary school,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Other,White,Some college/university,5,I don't know,,
410,3,64,Female,2,1,0,0,0,Some high/secondary school,United Kingdom,,United Kingdom,,No,Retired,,Retired,,Caucasian,,High/Secondary school,6,"Less than - £21,000",,
464,3,45,Female,2,2,0,0,0,Bachelor's degree or Honors degree,United Kingdom,,Other (please specify):,,Yes,Full-time,,"Production, transportation, and material moving",,African,,Bachelor's degree or Honors degree,10,"£61,001 - £92,400",,
N442,3,19,Male,2,2,0,0,0,High/Secondary school,United Kingdom,,United Kingdom,,No,Full-time,,Sales and office,,Caucasian,,Associate's degree or Certificate/Diploma,4,"£21,001 - £27,700",,
N451,3,33,Male,2,2,0,0,0,Some high/secondary school,United Kingdom,,United Kingdom,,No,Part-time,,"Production, transportation, and material moving",,Latinx/Hispanic,,High/Secondary school,5,"£27,701 - £43,700",,
N454,3,27,Male,1,1,0,0,0,Some college/university,United Kingdom,,United Kingdom,,No,Full-time,,"Construction, extraction, and maintenance",,Caucasian,,High/Secondary school,6,"£27,701 - £43,700",,
N465,3,39,Male,2,2,0,0,0,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Unemployed,,Unemployed,,Asian,,Some high/secondary school,3,"Less than - £21,000",,
N479,3,52,Female,2,2,0,0,1,Associate's degree or Certificate/Diploma,United Kingdom,,United Kingdom,,Yes,Part-time,,Sales and office,,Caucasian,,High/Secondary school,3,"£27,701 - £43,700",,
411,3,63,Female,1,1,0,0,0,Associate's degree or Certificate/Diploma,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,6,"£43,701 - £61,000",,
N425,3,25,Male,2,2,0,0,0,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,No,Full-time,,Sales and office,,Caucasian,,Bachelor's degree or Honors degree,8,"Less than - £21,000",,
N455,3,42,Male,1,1,0,0,0,High/Secondary school,United Kingdom,,United Kingdom,,No,Full-time,,Government,,Caucasian,,Bachelor's degree or Honors degree,3,"£27,701 - £43,700",,
R170,3,33,Male,1,2,0,0,0,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,No,Part-time,,Sales and office,,Caucasian,,Bachelor's degree or Honors degree,6,"Less than - £21,000",,
346,3,79,Female,1,2,0,1,0,Associate's degree or Certificate/Diploma,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,2,"Less than - £21,000",,
369,3,36,Female,2,1,0,1,0,High/Secondary school,United Kingdom,,Other (please specify):,India,Yes,Full-time,,"Management, professional, and related",,Asian,,Master's degree,10,"£43,701 - £61,000",,
396,3,61,Female,1,1,0,1,1,Master's degree,United Kingdom,,United Kingdom,,Yes,Part-time,,Other (please specify),clerical,Caucasian,,High/Secondary school,7,"Less than - £21,000",,
467,3,47,Female,1,1,0,1,1,Associate's degree or Certificate/Diploma,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"£43,701 - £61,000",,
N424,3,20,Male,2,1,0,1,0,High/Secondary school,United Kingdom,,United Kingdom,,No,Part-time,,Sales and office,,Caucasian,,High/Secondary school,6,I don't know,,
N457,3,41,Male,1,2,0,1,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Full-time,,Service,,Caucasian,,High/Secondary school,7,"£27,701 - £43,700",,
N473,3,45,Female,1,1,0,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Full-time,,Other (please specify),Education,Caucasian,,PhD or other higher postgraduate degrees,5,"£27,701 - £43,700",,
R151,3,36,Female,1,2,0,1,1,Some college/university,United Kingdom,,United Kingdom,,No,Part-time,,Government,,"Aboriginal Australian,Asian",,Master's degree,10,"Less than - £21,000",,
R186,3,24,Male,2,1,0,1,0,Master's degree,United Kingdom,,United Kingdom,,No,Full-time,,Other (please specify),Finance ,Other,British,Master's degree,10,"£27,701 - £43,700",,
360,3,70,Female,2,2,0,1,0,Some college/university,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,6,"Less than - £21,000",,
377,3,65,Male,1,1,0,1,1,Master's degree,United Kingdom,,United Kingdom,,No,Full-time,,Other (please specify),Investment company,Caucasian,,Master's degree,7,"More than £92,401",,
383,3,65,Female,2,2,0,1,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Retired,,Other (please specify),Retired but a volunteer,Caucasian,,Bachelor's degree or Honors degree,5,"Less than - £21,000",,
395,3,66,Female,2,2,0,1,0,Associate's degree or Certificate/Diploma,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,5,"£21,001 - £27,700",,
434,3,59,Female,1,2,0,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,5,"£27,701 - £43,700",,
448,3,21,Female,2,1,0,1,0,Some college/university,United Kingdom,,United Kingdom,,No,Part-time,,Service,,Other,British,Bachelor's degree or Honors degree,5,"£27,701 - £43,700",,
N421,3,20,Male,1,1,0,1,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,8,"£43,701 - £61,000",,
N436,3,29,Male,1,2,0,1,1,PhD or other higher postgraduate degrees,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,7,"£43,701 - £61,000",,
N489,3,50,Female,2,1,0,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Part-time,,Other (please specify),Pharmacy ,Caucasian,,High/Secondary school,5,I don't know,,
N492,3,67,Female,2,1,0,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,3,"Less than - £21,000",,
N501,3,64,Female,2,1,0,1,1,PhD or other higher postgraduate degrees,United Kingdom,,United Kingdom,,No,Retired,,Government,,Caucasian,,PhD or other higher postgraduate degrees,3,"Less than - £21,000",,
N504,3,64,Female,2,1,0,1,0,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,5,"£61,001 - £92,400",,
N507,3,56,Female,2,1,0,1,0,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Part-time,,Government,,Caucasian,,Bachelor's degree or Honors degree,6,"£27,701 - £43,700",,
N514,3,56,Female,1,1,0,1,0,Some college/university,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,PhD or other higher postgraduate degrees,8,"Less than - £21,000",,
R137,3,66,Female,1,2,0,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Retired,,Retired,,Caucasian,,High/Secondary school,5,"Less than - £21,000",,
R138,3,52,Male,1,1,0,1,1,High/Secondary school,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Caucasian,,High/Secondary school,7,"£27,701 - £43,700",,
R140,3,33,Female,1,2,0,1,0,Master's degree,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Asian,,Master's degree,4,"More than £92,401",,
R150,3,48,Female,2,2,0,1,0,Some college/university,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"£27,701 - £43,700",,
R156,3,38,Female,1,1,0,1,0,Associate's degree or Certificate/Diploma,United Kingdom,,United Kingdom,,Yes,Other,,Other (please specify),N/A,Caucasian,,Some college/university,5,"Less than - £21,000",,
R158,3,29,Female,2,2,0,1,0,High/Secondary school,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Caucasian,,High/Secondary school,6,"£27,701 - £43,700",,
R159,3,49,Female,2,1,0,1,0,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Unemployed,,Unemployed,,Caucasian,,Bachelor's degree or Honors degree,7,"Less than - £21,000",,
R171,3,32,Male,1,2,0,1,1,Some college/university,United Kingdom,,United Kingdom,,Yes,Unemployed,,Unemployed,,Caucasian,,Bachelor's degree or Honors degree,3,"Less than - £21,000",,
361,3,57,Female,1,2,0,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,Yes,Part-time,,Other (please specify),Leisure,Caucasian,,High/Secondary school,6,"Less than - £21,000",,
439,3,33,Female,2,2,0,1,0,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,7,"£61,001 - £92,400",,
457,3,19,Female,2,1,0,1,1,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Other,,Some college/university,3,"£43,701 - £61,000",,
465,3,46,Male,1,2,0,1,1,PhD or other higher postgraduate degrees,United Kingdom,,United Kingdom,,No,Full-time,,Government,,Caucasian,,Bachelor's degree or Honors degree,5,"£21,001 - £27,700",,
N437,3,25,Male,1,1,0,1,1,Bachelor's degree or Honors degree,United Kingdom,,Other (please specify):,Hong kong,No,Full-time,,Sales and office,,Asian,,Bachelor's degree or Honors degree,7,"£27,701 - £43,700",,
N462,3,43,Male,1,2,0,1,1,High/Secondary school,United Kingdom,,United Kingdom,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"£27,701 - £43,700",,
N483,3,48,Female,2,2,0,1,0,Bachelor's degree or Honors degree,United Kingdom,,United Kingdom,,No,Full-time,,"Management, professional, and related",,Caucasian,,Bachelor's degree or Honors degree,6,"£27,701 - £43,700",,
